Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Price to Earning,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,YOY Quarterly sales growth,Debt to equity,Profit after tax,Profit after tax latest quarter,Change in promoter holding,Promoter holding,EVEBITDA,PEG Ratio,Return on equity,Return on equity preceding year,OPM last year
R M Drip & Sprin,544456,RMDRIP,Industrial Products,Plastic Products - Industrial,81.00,64.43,0.06,10.96,221.41,80.87,0.41,31.43,10.96,0.00,21.06,41.94,0.32,39.70,20.27,27.40
RBZ Jewellers Lt,544060,RBZJEWEL,Consumer Durables,"Gems, Jewellery And Watches",134.28,11.26,0.00,18.56,129.99,24.43,0.55,47.34,18.56,0.00,75.00,8.74,0.29,17.15,14.39,12.20
Sika Interplant,523606,,Aerospace & Defense,Aerospace & Defense,895.40,55.26,0.27,8.94,44.43,55.17,0.00,34.35,8.94,0.00,71.72,40.85,3.74,22.04,19.39,19.59
Sumitomo Chemi.,542920,SUMICHEM,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,465.25,43.09,0.26,177.90,-6.78,-5.86,0.02,540.43,177.90,0.00,75.00,29.30,8.60,18.81,15.33,20.17
Swaraj Engines,500407,SWARAJENG,Industrial Products,"Compressors, Pumps & Diesel Engines",3733.20,25.62,2.80,49.68,9.38,8.57,0.00,177.02,49.68,0.00,52.12,16.92,1.70,41.94,38.58,13.52
Systango Tech,,SYSTANGO,IT - Software,Computers - Software & Consulting,354.35,16.08,0.00,18.30,88.66,58.06,0.00,32.33,18.30,0.06,72.13,12.07,0.34,23.38,22.86,34.17
Tanfac Inds.,506854,,Chemicals & Petrochemicals,Commodity Chemicals,3994.10,42.35,0.23,17.18,-11.03,51.28,0.09,94.07,17.18,0.00,51.81,27.66,2.31,32.05,24.19,23.53
TD Power Systems,533553,TDPOWERSYS,Electrical Equipment,Heavy Electrical Equipment,696.70,52.20,0.18,60.19,45.84,47.65,0.04,208.21,60.19,0.00,26.88,35.51,1.33,22.31,18.08,18.41
Tips Music,532375,TIPSMUSIC,Entertainment,Media & Entertainment,525.70,38.81,1.52,53.19,10.44,10.68,0.01,173.87,53.19,0.00,64.15,28.53,1.08,82.88,79.41,66.53
Torrent Pharma.,500420,TORNTPHARM,Pharmaceuticals & Biotechnology,Pharmaceuticals,3785.90,59.05,0.85,591.00,32.49,14.30,0.33,2166.53,600.17,0.00,68.31,32.97,2.79,26.52,24.23,32.31
TPL Plastech,526582,TPLPLASTEH,Industrial Products,Packaging,67.11,20.13,1.49,6.85,27.80,20.15,0.14,26.08,6.85,0.00,74.86,12.23,0.96,16.98,15.85,11.62
Transport Corp.,532349,TCI,Transport Services,Logistics Solution Provider,1042.20,18.43,0.77,113.50,5.83,7.50,0.11,434.20,112.60,0.00,68.73,13.10,1.49,19.79,19.05,10.30
Trent,500251,TRENT,Retailing,Speciality Retail,4183.10,91.70,0.12,373.42,11.25,15.90,0.38,1621.95,376.86,0.00,37.01,44.46,0.67,30.40,27.44,16.46
Veedol Corporat,590005,VEEDOL,Petroleum Products,Lubricants,1618.70,14.52,3.34,40.94,18.32,6.93,0.02,193.91,40.94,2.23,64.58,10.35,1.22,19.75,17.97,9.87
Vilas Transcore,,VILAS,Industrial Products,Other Industrial Products,402.20,21.90,0.00,24.38,74.39,40.84,0.03,44.96,24.38,0.00,73.21,13.69,0.92,15.14,15.11,12.62
Zydus Lifesci.,532321,ZYDUSLIFE,Pharmaceuticals & Biotechnology,Pharmaceuticals,931.45,18.65,1.18,1238.60,40.92,16.92,0.38,5029.35,1283.60,0.00,74.99,12.55,9.87,21.21,20.67,30.37
